"idReg","duracion"
"1","21 min"
"2","111 min"
"3"," "
"4","4 min"
"5","42 min"
"6","120 min"
"7","16 min"
"8"," "
"9","90 min"
"10","58 MINUTOS, 58 MINUTOS"
"11","100 min"
"12","93 min"
"13","90 min"
"14"," "
"15","81 min"
"16","94"
"17","90 min"
"18","24 min"
"19","90  min"
"20","90 MINUTOS"
"21","20 min"
"22","Desconocido"
"23","103 MINUTOS"
"24","26 min"
"25","44 min"
"26","43 min"
"27","90 min"
"28","30 min"
"29","73 min"
"30","87 min"
"31","90 min"
"32","90 min"
"33","110 MINUTOS"
"34","89 min"
"35","120 min"
"36","44 MINUTOS"
"37","85 min"
"38","85 min"
"39","47 min"
"40","90 min"
"41","44 min"
"42","63 MINUTOS"
"43","40 min"
"44","85 min"
"45","106 min"
"46","49 min"
"47","90 min"
"48","111 min"
"49"," "
"50","116 min"
"51","87 min"
"52"," "
"53","109 min"
"54"," "
"55","90 min"
"56"," "
"57"," "
"58","115 min"
"59","90"
"60","90 min"
"61","95 min"
"62","16 min"
"63","11 min"
"64","80 min"
"65","104 min"
"66"," "
"67","93 min"
"68","92 min"
"69","84 min"
"70","93 min"
"71","34 min"
"72","85 min"
"73","104 min"
"74"," "
"75","80 min"
"76"," "
"77","85"
"78","112 min"
"79","30 min"
"80","87 min"
"81"," "
"82","90 min"
"83","42 min"
"84","73"
"85","95 MINUTOS"
"86","29 min"
"87","27 min"
"88",""
"89",""
"90","74 min"
"91","80 min"
"92","113 min"
"93","36 min"
"94","100 min"
"95"," "
"96","90 min"
"97","83 min"
"98","98 min"
"99"," "
"100","90 min"
"101","90 min"
"102","80 min"
"103","107 MINUTOS"
"104","85 min"
"105","93 min"
"106","90 MINUTOS"
"107","90 min"
"108","92"
"109","90 min"
"110","53 min"
"111","86 min"
"112","46 min"
"113","84 MINUTOS"
"114",""
"115","13 min"
"116","81 min"
"117","91 min"
"118","112 min"
"119","112 min"
"120","91 min"
"121","90 min"
"122","130 min"
"123","103 min"
"124","101 min"
"125","100 min"
"126"," "
"127"," "
"128","81 min"
"129","102 min"
"130","91 min"
"131","95 min"
"132","100 min"
"133","90 min"
"134","86 min"
"135","88 min"
"136","100 min"
"137","97 min"
"138","74 min"
"139","83 min"
"140","99 min"
"141","95 min"
"142","27 MINUTOS"
"143","96 min"
"144","86 min"
"145","97 min"
"146","93 min"
"147","117 MINUTOS"
"148","87 min"
"149","13 min"
"150","85"
"151"," "
"152",""
"153"," "
"154","90"
"155","62 min"
"156","76 min"
"157","69 min"
"158","46 min"
"159","41 min"
"160"," "
"161","86"
"162","83 min"
"163"," "
"164","86 min"
"165"," "
"166","89 min"
"167"," "
"168","90 min"
"169","91 min"
"170"," "
"171","84 min"
"172"," "
"173","30 min"
"174","30 min"
"175"," "
"176","8 min"
"177","90 min"
"178","13 min"
"179","15 min"
"180","26 min"
"181","12 min"
"182","95 min"
"183"," "
"184","108"
"185","108 min"
"186","94"
"187","26 MINUTOS"
"188","78 min"
"189","85 min"
"190","1 min"
"191","27 MINUTOS"
"192","6 min"
"193"," "
"194"," "
"195"," "
"196","104 min"
"197","115 min"
"198","14 min"
"199","30 min"
"200"," "
"201"," "
"202"," "
"203","30 min"
"204","29 min"
"205"," "
"206","30 min"
"207","30 min"
"208","30 min"
"209"," "
"210"," "
"211","28 min"
"212","73 min"
"213","22 min"
"214","90 min"
"215","8 min"
"216","39 min"
"217","111 min"
"218","17 min"
"219","27 MINUTOS"
"220"," "
"221","17 min"
"222","90 min"
"223","97 min"
"224"," "
"225","105 min"
"226","80 min"
"227","86 min"
"228","29 min"
"229","66 min"
"230","11 min"
"231","8 min"
"232","80 min"
"233",""
"234"," "
"235","89 min"
"236","90 min"
"237","90 min"
"238","10 min"
"239"," "
"240"," "
"241"," "
"242"," "
"243"," "
"244","118 min"
"245","95 min"
"246","105 min"
"247","89 min"
"248","11 min"
"249"," "
"250","85 min"
"251","79 min"
"252"," "
"253","104 MINUTOS"
"254"," "
"255","85 min"
"256","69 min"
"257","96 min"
"258","94 min"
"259","84 min"
"260"," "
"261"," "
"262","46 min"
"263","112 min"
"264","12 min"
"265","103 min"
"266","60 min"
"267","60 min"
"268","32 min"
"269","92 MINUTOS"
"270","100"
"271"," "
"272","83 min"
"273","95 MINUTOS"
"274","70 min"
"275","51 MINUTOS"
"276","90 min"
"277","130"
"278"," "
"279","70"
"280","96 MINUTOS"
"281"," "
"282","89 min"
"283","83 min"
"284","91 min"
"285","90 min"
"286","68 min"
"287"," "
"288",""
"289","90 min"
"290","90 min"
"291","100 min"
"292","90 min"
"293","85 min"
"294","120 MINUTOS"
"295","90 MINUTOS"
"296","27 min"
"297","48 min"
"298","32 min"
"299","105 min"
"300","80 min"
"301","74 min"
"302","81 min"
"303","32 min"
"304",""
